State,Action,Q-value
"(7, 8)",left,-7.045389363661657
"(7, 8)",right,-6.991769273113851
"(7, 9)",up,-6.873399123345509
"(7, 9)",down,-6.872501808841
"(7, 9)",left,-6.873475008234098
"(7, 9)",right,-6.862632282415495
"(7, 10)",up,-6.69650561271431
"(7, 10)",down,-6.729328470671582
"(7, 10)",left,-6.704203885058696
"(7, 10)",right,-6.726225215418585
"(7, 11)",up,-6.514960955476121
"(7, 11)",down,-6.531163073591445
"(7, 11)",left,-6.557081606449801
"(7, 11)",right,-6.532364325993057
"(7, 12)",up,-6.3167694446670755
"(7, 12)",down,-6.331888509534044
"(7, 12)",left,-6.367970119181333
"(7, 12)",right,-6.369004572647526
"(7, 13)",up,-6.145927660343421
"(7, 13)",down,-6.140729900540863
"(7, 13)",left,-6.219993533211811
"(7, 13)",right,-6.144347194052447
"(7, 14)",up,-5.923564793217012
"(7, 14)",down,-5.969612430588181
"(7, 14)",left,-5.940854231440185
"(7, 14)",right,-5.912264697168388
"(7, 15)",up,-5.664603482915431
"(7, 15)",down,-5.652602349642015
"(7, 15)",left,-5.729816054022269
"(7, 15)",right,-5.667178461554429
"(7, 16)",up,-5.360770455094002
"(7, 16)",down,-5.4019725196896
"(7, 16)",left,-5.395612001001814
"(7, 16)",right,-5.3528617327253425
"(7, 17)",up,-4.935540217669253
"(7, 17)",down,-4.98942257102324
"(7, 17)",left,-5.071909889002741
"(7, 17)",right,-4.971605684614732
"(7, 18)",up,-4.748752015665561
"(7, 18)",down,-4.872892700755048
"(7, 18)",left,-5.010520191912436
"(7, 18)",right,-4.352678464942146
"(7, 19)",up,-4.889571619940387
"(7, 19)",down,-4.8306547973611265
"(7, 19)",left,-4.85268560684454
"(7, 19)",right,-4.8383300353455505
"(8, 0)",up,-7.5664888683935
"(8, 0)",down,-7.565286824939746
"(8, 0)",left,-7.556404163123853
"(8, 0)",right,-7.563213586079514
"(8, 1)",up,-7.526258179114864
"(8, 1)",down,-7.550061073891907
"(8, 1)",left,-7.557251064547321
"(8, 1)",right,-7.52887396113121
"(8, 2)",up,-7.469801252524867
"(8, 2)",down,-7.487222288490615
"(8, 2)",left,-7.4912127068454195
"(8, 2)",right,-7.4781210903436754
"(8, 3)",up,-7.391480263222839
"(8, 3)",down,-7.4511606116568405
"(8, 3)",left,-7.408225347545311
"(8, 3)",right,-7.376585182573346
"(8, 4)",up,-7.323254190362343
"(8, 4)",down,-7.344510866879589
"(8, 4)",left,-7.31741838672153
"(8, 4)",right,-7.319991588239812
"(8, 5)",up,-7.218886518175302
"(8, 5)",down,-7.276260725181849
"(8, 5)",left,-7.205674396849894
"(8, 5)",right,-7.219196239313671
"(8, 6)",up,-7.09914020263706
"(8, 6)",down,-7.116201781295342
"(8, 6)",left,-7.136707979997975
"(8, 6)",right,-7.095772864564733
"(8, 7)",up,-6.981075791700468
"(8, 7)",down,-7.002472893154728
"(8, 7)",left,-6.999002055343145
"(8, 7)",right,-6.9848924706368365
"(8, 8)",up,-6.850819870121375
"(8, 8)",down,-6.858157885344898
"(8, 8)",left,-6.884020244348306
"(8, 8)",right,-6.858893850596307
"(8, 9)",up,-6.728309570512328
"(8, 9)",down,-6.723660135439893
"(8, 9)",left,-6.754114889727131
"(8, 9)",right,-6.715262395612857
"(8, 10)",up,-6.571403683172003
"(8, 10)",down,-6.59052606591914
"(8, 10)",left,-6.580113305877533
"(8, 10)",right,-6.5821933878126035
"(8, 11)",up,-6.3732473467240105
"(8, 11)",down,-6.4071780467574
"(8, 11)",left,-6.432176167812279
"(8, 11)",right,-6.367344729155445
"(8, 12)",up,-6.172056771942971
"(8, 12)",down,-6.183782090576736
"(8, 12)",left,-6.173318534001325
"(8, 12)",right,-6.173776341612193
"(8, 13)",up,-5.938511151919415
"(8, 13)",down,-5.935170532444373
"(8, 13)",left,-5.973098296451805
"(8, 13)",right,-5.928138062558514
"(8, 14)",up,-5.657164492178386
"(8, 14)",down,-5.66469773608311
"(8, 14)",left,-5.701429692064181
"(8, 14)",right,-5.669443113504997
"(8, 15)",up,-5.350757844185216
"(8, 15)",down,-5.351282417884009
"(8, 15)",left,-5.403464666014316
"(8, 15)",right,-5.3501456566587855
"(8, 16)",up,-4.936289676062426
"(8, 16)",down,-5.035882461693953
"(8, 16)",left,-4.970060267944954
"(8, 16)",right,-4.930974322720562
"(8, 17)",up,-4.407022821454644
"(8, 17)",down,-4.697108996053194
